City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
82,wailua homesteads,US,1731396035,22.0669,-159.378,25.44,87,100,7.72
83,ormara,PK,1731396036,25.2088,64.6357,27.43,58,0,3.44
84,yellowknife,CA,1731396036,62.456,-114.3525,-6.44,99,100,6.69
85,nova sintra,CV,1731396036,14.8667,-24.7167,26.72,68,8,6.29
86,codrington,AU,1731396037,-38.2667,141.9667,21.17,59,11,4.93
87,port alfred,ZA,1731396037,-33.5906,26.891,21.21,83,5,2.68
88,takanosu,JP,1731396037,40.2219,140.3694,12.36,82,75,2.06
89,tari,AO,1731396038,-11.1105,14.3559,21.74,80,100,0.34
90,gazojak,TM,1731396038,41.1875,61.4036,11.93,39,100,1.02
91,kosh-agach,RU,1731396038,50.0,88.6667,-3.98,54,100,10.39
92,linxia chengguanzhen,CN,1731396038,35.6003,103.2064,11.01,46,11,2.78
93,port mathurin,MU,1731396039,-19.6833,63.4167,24.42,80,29,8.9
94,minas de matahambre,CU,1731396039,22.5887,-83.9447,23.29,92,4,1.08
95,nemuro,JP,1731396039,43.3236,145.575,9.82,76,100,7.01
96,zhumysker,KZ,1731396039,49.3333,49.4,1.11,44,0,2.05
97,shetpe,KZ,1731396040,44.1667,52.1167,3.74,67,99,6.21
98,arraial do cabo,BR,1731396040,-22.9661,-42.0278,21.92,88,0,3.6
99,bardai,NG,1731396040,11.65,7.2333,20.58,37,7,4.49
100,nuku'alofa,TO,1731396040,-21.1333,-175.2,23.19,94,75,2.57
101,mananara,MG,1731396040,-16.1667,49.7667,28.78,63,33,2.47
102,ust-nera,RU,1731396041,64.5667,143.2,-30.55,98,94,0.79
103,luwuk,ID,1731396041,-0.9516,122.7875,27.89,72,85,1.92
104,ribeira grande,PT,1731396041,38.5167,-28.7,21.22,94,75,7.2
105,margaret river,AU,1731395952,-33.95,115.0667,19.3,55,11,6.77
106,port douglas,AU,1731396041,-16.4833,145.4667,26.78,73,85,3.9
107,vilyuchinsk,RU,1731396042,52.9306,158.4028,1.15,73,12,12.62
108,ushuaia,AR,1731396042,-54.8,-68.3,7.81,81,75,10.29
109,rovnoye,RU,1731396042,50.7765,46.0509,2.74,66,9,1.75
110,san patricio,US,1731396043,28.017,-97.5169,18.97,76,7,2.46
111,hultsfred,SE,1731396043,57.4882,15.8436,2.88,95,29,1.85
112,campina grande,BR,1731396044,-7.2306,-35.8811,20.9,94,40,3.09
113,anadyr,RU,1731396044,64.75,177.4833,-12.72,78,75,4.0
114,hami,CN,1731396044,42.8,93.45,11.48,41,6,0.6
115,al ghayzah,YE,1731396044,16.2079,52.176,28.33,47,6,1.41
116,kurumkan,RU,1731396044,54.3,110.3,-4.98,73,100,0.8
117,cabo san lucas,MX,1731395654,22.8909,-109.9124,24.31,60,6,1.34
118,lanzhou,CN,1731396045,36.0564,103.7922,12.78,44,67,2.44
119,west island,CC,1731396045,-12.1568,96.8225,28.99,74,100,7.72
120,kayangel,PW,1731396045,8.0823,134.7173,28.47,74,95,2.73
121,selfoss,IS,1731396046,63.9331,-20.9971,11.14,97,100,12.77
122,port-vila,VU,1731396046,-17.7338,168.3219,25.78,73,20,2.57
123,uturoa,PF,1731396046,-16.7333,-151.4333,26.34,79,99,8.92
124,bredasdorp,ZA,1731396046,-34.5322,20.0403,20.26,61,6,2.54
125,yakeshi,CN,1731396046,49.2833,120.7333,-1.62,40,37,2.7
126,odienne,CI,1731396047,9.51,-7.5692,20.99,69,4,1.25
127,el jadid,MA,1731396047,33.2549,-8.506,18.29,85,98,1.7
128,sao raimundo nonato,BR,1731396047,-9.0153,-42.6994,22.22,93,100,0.81
129,hailun,CN,1731396047,47.45,126.9333,0.74,50,6,2.11
130,stokesdale,US,1731396048,36.2371,-79.9795,13.86,90,0,2.57
131,souillac,MU,1731396048,-20.5167,57.5167,28.21,61,40,5.66
132,mendi,PG,1731396049,-6.1761,143.6513,15.28,99,100,0.71
133,gamba,GA,1731396049,-2.65,10.0,25.78,88,100,4.28
134,bengkulu,ID,1731396049,-3.8004,102.2655,29.37,68,100,3.3
135,zheleznogorsk-ilimskiy,RU,1731396049,56.5768,104.1217,-0.98,76,100,1.93
136,cockburn town,TC,1731396050,21.4612,-71.1419,27.68,84,100,8.7
137,belyy yar,RU,1731396050,53.6039,91.3903,-3.06,36,0,9.0
138,miles city,US,1731396050,46.4083,-105.8406,3.54,93,0,4.63
139,seryshevo,RU,1731396050,51.0933,128.3786,-6.1,78,1,2.03
140,mananjary,MG,1731396050,-21.2167,48.3333,29.82,61,31,4.43
141,chonchi,CL,1731396051,-42.6128,-73.8092,9.51,95,100,1.15
142,vostochnyy,RU,1731396051,55.8167,37.8667,0.23,100,98,2.83
143,siwa oasis,EG,1731396051,29.2041,25.5195,19.4,48,3,2.64
144,astaneh-ye ashrafiyeh,IR,1731396052,37.2596,49.9444,13.96,97,100,1.64
145,sabang,ID,1731396052,5.8933,95.3214,27.73,76,100,3.01
146,georgetown,MY,1731396052,5.4112,100.3354,31.97,66,20,3.6
147,dudinka,RU,1731396052,69.4058,86.1778,-22.66,90,64,7.4
148,talnakh,RU,1731396052,69.4865,88.3972,-27.36,90,46,0.88
149,visby,SE,1731396053,57.6409,18.296,7.12,87,100,4.63
150,novyy urengoy,RU,1731396053,66.0833,76.6333,-23.8,96,41,5.75
151,sosnovo-ozerskoye,RU,1731396054,52.5249,111.5418,-2.45,73,100,1.97
152,sihanoukville,KH,1731396054,10.6093,103.5296,30.97,70,40,5.66
153,mizque,BO,1731396054,-17.941,-65.3402,17.7,79,30,2.47
154,newman,US,1731396054,37.3138,-121.0208,7.81,92,0,1.29
155,sinabang,ID,1731396054,2.4803,96.3801,25.94,88,100,1.3
156,felipe carrillo puerto,MX,1731396055,19.5833,-88.05,22.43,99,17,0.73
157,nalut,LY,1731396055,30.3333,10.85,17.22,50,0,1.33
158,kantagi,KZ,1731396055,43.5264,68.5775,8.18,62,100,1.45
159,prince rupert,CA,1731395976,54.3161,-130.3201,6.83,93,100,10.8
160,saldanha,ZA,1731396056,-33.0117,17.9442,17.09,82,0,8.52
161,karhal,IN,1731396056,27.0003,78.9414,31.29,28,0,1.11
162,fort st. john,CA,1731396056,56.2499,-120.8529,-7.06,79,100,5.66
163,lihue,US,1731395800,21.9789,-159.3672,25.77,85,100,7.72
164,baran',BY,1731396056,54.4764,30.3181,1.2,87,86,2.29
165,ghat,LY,1731396057,24.9647,10.1728,19.67,27,5,0.59
166,vernon,CA,1731396057,50.2581,-119.2691,4.74,85,63,2.57
167,ulsteinvik,NO,1731396057,62.3432,5.8487,10.42,80,100,1.79
168,petropavlovsk-kamchatsky,RU,1731396057,53.0452,158.6483,0.33,44,20,14.0
169,mount isa,AU,1731396058,-20.7333,139.5,39.87,15,100,5.14
170,camlidere,TR,1731396058,40.4896,32.475,9.42,60,2,1.29
171,cambridge,CA,1731395921,43.3601,-80.3127,3.07,83,75,6.69
172,broken hill,AU,1731395821,-31.95,141.4333,30.45,23,16,7.66
173,iskateley,RU,1731396058,67.6803,53.1512,-11.76,89,85,2.71
174,ancud,CL,1731396059,-41.8697,-73.8203,9.66,91,100,3.3
175,laguna,US,1731396059,38.421,-121.4238,8.36,91,0,0.0
176,severo-yeniseyskiy,RU,1731396060,60.3725,93.0408,-12.99,85,100,3.34
177,klyuchi,RU,1731396060,52.2667,79.1667,-6.76,64,100,7.66
178,rumoi,JP,1731396060,43.9344,141.6428,8.99,78,100,5.52
179,thompson,CA,1731396060,55.7435,-97.8558,-1.91,93,100,3.6
180,mount gambier,AU,1731396060,-37.8333,140.7667,23.12,55,36,2.87
181,touros,BR,1731396061,-5.1989,-35.4608,25.18,74,19,4.18
182,yekaterinoslavka,RU,1731396061,50.3734,129.1139,-5.84,71,0,1.4
